__time,/Kastberg/_MSG_INDEX_,/Kastberg/data,/kthfs/result/_MSG_INDEX_,/kthfs/result/data
1630854407.123971,11862.000000,12.000000,,
1630854407.124484,,,7072.000000,84080.000000
1630854407.171417,11863.000000,16.000000,,
1630854407.171566,,,7073.000000,84106.664063
1630854407.220959,11864.000000,20.000000,,
1630854407.221533,,,7074.000000,84133.335938
1630854407.263152,11865.000000,24.000000,,
1630854407.263320,,,7075.000000,84160.000000
1630854407.314902,11866.000000,28.000000,,
1630854407.315337,,,7076.000000,84186.664063
1630854407.371480,,,7077.000000,84213.335938
1630854407.371505,11867.000000,32.000000,,
1630854407.420671,11868.000000,36.000000,,
1630854407.420697,,,7078.000000,84240.000000
1630854407.470636,11869.000000,40.000000,,
1630854407.470955,,,7079.000000,84266.664063
1630854407.516191,,,7080.000000,84293.335938
1630854407.516214,11870.000000,44.000000,,
1630854407.571414,11871.000000,48.000000,,
1630854407.571531,,,7081.000000,84320.000000
1630854407.626151,11872.000000,52.000000,,
1630854407.626325,,,7082.000000,84346.664063
1630854407.665830,11873.000000,56.000000,,
1630854407.666099,,,7083.000000,84373.335938
1630854407.723978,11874.000000,60.000000,,
1630854407.724413,,,7084.000000,84400.000000
1630854407.775188,11875.000000,64.000000,,
1630854407.775858,,,7085.000000,84426.664063
1630854407.816876,11876.000000,68.000000,,
1630854407.816974,,,7086.000000,84453.335938
1630854407.863164,11877.000000,72.000000,,
1630854407.864094,,,7087.000000,84480.000000
1630854407.914572,11878.000000,76.000000,,
1630854407.914765,,,7088.000000,84506.664063
1630854407.974220,11879.000000,80.000000,,
1630854407.974732,,,7089.000000,84533.335938
1630854408.015219,11880.000000,84.000000,,
1630854408.015830,,,7090.000000,84560.000000
1630854408.065573,11881.000000,88.000000,,
1630854408.066200,,,7091.000000,84586.664063
1630854408.116503,11882.000000,92.000000,,
1630854408.116942,,,7092.000000,84613.335938
1630854408.163725,11883.000000,96.000000,,
1630854408.168378,,,7093.000000,84640.000000
1630854408.221206,11884.000000,100.000000,,
1630854408.223500,,,7094.000000,84666.664063
1630854408.265644,11885.000000,104.000000,,
1630854408.266682,,,7095.000000,84693.335938
1630854408.316081,11886.000000,108.000000,,
1630854408.316960,,,7096.000000,84720.000000
1630854408.372100,11887.000000,112.000000,,
1630854408.372197,,,7097.000000,84746.664063
1630854408.418904,,,7098.000000,84773.335938
1630854408.418970,11888.000000,116.000000,,
1630854408.466882,,,7099.000000,84800.000000
1630854408.466909,11889.000000,120.000000,,
1630854408.517022,11890.000000,124.000000,,
1630854408.517549,,,7100.000000,84826.664063
1630854408.571994,11891.000000,128.000000,,
1630854408.572332,,,7101.000000,84853.335938
1630854408.623196,,,7102.000000,84880.000000
1630854408.624356,11892.000000,132.000000,,
1630854408.674057,11893.000000,136.000000,,
1630854408.674637,,,7103.000000,84906.664063
1630854408.721410,11894.000000,140.000000,,
1630854408.721897,,,7104.000000,84933.335938
1630854408.767007,11895.000000,144.000000,,
1630854408.767338,,,7105.000000,84960.000000
1630854408.827065,11896.000000,148.000000,,
1630854408.827827,,,7106.000000,84986.664063
1630854408.867357,11897.000000,152.000000,,
1630854408.869924,,,7107.000000,85013.335938
1630854408.913804,11898.000000,156.000000,,
1630854408.914454,,,7108.000000,85040.000000
1630854408.970945,11899.000000,160.000000,,
